CustomerKey,Email,FirstName,LastName,BirthDate,Gender,MaritalStatus,HomeOwner,Children,Education,Occupation,Income
55032,amanda91@kiteright.ca,AMANDA,BRYANT,3/5/1998,Female,M,N,5,Graduate Degree,Professional,"$130,000 "
55033,carol2@kiteright.ca,CAROL,RAJE,4/13/1954,Female,S,Y,3,Bachelor Degree,Professional,"$80,000 "
55034,cook24@kiteright.ca,ALEXANDER,COOK,7/13/1994,Male,S,Y,3,Graduate Degree,Professional,"$140,000 "
55035,diaz79@kiteright.ca,VICTORIA,DIAZ,9/19/1976,Female,S,Y,2,Bachelor Degree,Manual,"$120,000 "
55036,jeremy16@kiteright.ca,JEREMY,JORDAN,10/6/1979,Male,M,Y,0,Bachelor Degree,Management,"$170,000 "
55037,xu8@kiteright.ca,RALPH,XU,2/22/1996,Male,M,Y,2,Bachelor Degree,Clerical,"$170,000 "
55038,dominguez12@kiteright.ca,KATHERINE,DOMINGUEZ,4/1/1986,Female,S,Y,0,Graduate Degree,Professional,"$40,000 "
55039,martha9@kiteright.ca,MARTHA,STEWART,4/2/1992,Female,M,Y,3,Graduate Degree,Manual,"$50,000 "
55040,wood51@kiteright.ca,EDWARD,WOOD,7/19/1973,Male,S,N,3,High School,Manual,"$40,000 "
55041,jacob66@kiteright.ca,JACOB,EVANS,6/17/1995,Male,S,N,4,Graduate Degree,Clerical,"$130,000 "
55042,anthony37@kiteright.ca,ANTHONY,LIU,4/6/1996,Male,M,Y,1,Graduate Degree,Manual,"$130,000 "
55043,lauren40@kiteright.ca,LAUREN,ANDERSEN,1/22/1988,Female,S,Y,3,Graduate Degree,Management,"$30,000 "
55044,wright38@kiteright.ca,NICOLE,WRIGHT,2/3/1999,Female,M,N,3,High School,Professional,"$40,000 "
55045,nara67@kiteright.ca,BETTY,NARA,5/11/1980,Female,S,N,2,Bachelor Degree,Professional,"$170,000 "
55046,liang35@kiteright.ca,THERESA,LIANG,5/21/1990,Female,S,N,1,Graduate Degree,Management,"$40,000 "
55047,cook46@kiteright.ca,JANET,COOK,10/12/1984,Female,S,N,0,Graduate Degree,Clerical,"$40,000 "
55048,edwards94@kiteright.ca,MARIE,EDWARDS,12/30/1991,Female,M,Y,1,Bachelor Degree,Management,"$110,000 "
55049,lauren99@kiteright.ca,LAUREN,SUN,11/7/1986,Female,M,Y,0,Graduate Degree,Clerical,"$150,000 "
55050,kimberly65@kiteright.ca,KIMBERLY,MITCHELL,9/4/1987,Female,S,N,2,High School,Manual,"$30,000 "
55051,blanco8@kiteright.ca,KIMBERLY,BLANCO,4/22/1997,Female,S,N,0,Bachelor Degree,Professional,"$120,000 "
55052,carol99@kiteright.ca,CAROL,POWELL,7/21/1981,Female,M,Y,3,High School,Clerical,"$70,000 "
55053,diaz20@kiteright.ca,JULIA,DIAZ,10/22/1976,Female,S,N,1,High School,Management,"$100,000 "
55054,randy28@kiteright.ca,RANDY,CAI,7/9/1986,Male,M,Y,3,Bachelor Degree,Manual,"$110,000 "
55055,mitchell44@kiteright.ca,AARON,MITCHELL,12/19/2000,Male,S,Y,1,Bachelor Degree,Manual,"$100,000 "
55056,harry75@kiteright.ca,HARRY,ALEXANDER,11/29/1985,Male,M,N,0,Bachelor Degree,Clerical,"$160,000 "
55057,patel75@kiteright.ca,AMBER,PATEL,3/18/1991,Female,M,Y,5,Graduate Degree,Clerical,"$120,000 "
55058,jose36@kiteright.ca,JOSE,COOK,10/21/1957,Male,M,Y,2,Bachelor Degree,Management,"$120,000 "
55059,jesse99@kiteright.ca,JESSE,TURNER,10/4/1974,Male,M,N,0,High School,Management,"$120,000 "
55060,harry58@kiteright.ca,HARRY,XU,1/31/1973,Male,M,N,2,High School,Professional,"$90,000 "
55061,carlson23@kiteright.ca,HELEN,CARLSON,4/12/1978,Female,S,N,4,Graduate Degree,Manual,"$130,000 "
55062,carlson61@kiteright.ca,STEPHEN,CARLSON,5/20/1979,Male,S,Y,2,Graduate Degree,Management,"$110,000 "
55063,benjamin57@kiteright.ca,BENJAMIN,WATSON,2/8/1960,Male,M,N,4,High School,Clerical,"$110,000 "
55064,martha44@kiteright.ca,MARTHA,BLANCO,4/19/1978,Female,M,N,3,High School,Manual,"$130,000 "
55065,powell52@kiteright.ca,MATTHEW,POWELL,7/2/1986,Male,S,Y,2,Bachelor Degree,Clerical,"$100,000 "
55066,yuan33@kiteright.ca,NOAH,YUAN,10/29/2000,Male,S,N,1,Graduate Degree,Manual,"$50,000 "
55067,noah93@kiteright.ca,NOAH,RUSSELL,3/20/1990,Male,S,Y,2,Bachelor Degree,Clerical,"$90,000 "
55068,russell78@kiteright.ca,KIMBERLY,RUSSELL,3/7/1985,Female,M,N,3,Bachelor Degree,Professional,"$10,000 "
55069,raji81@kiteright.ca,FRANCES,RAJI,1/15/1977,Female,M,N,1,High School,Manual,"$100,000 "
55070,samantha24@kiteright.ca,SAMANTHA,ROMERO,3/20/1995,Female,S,Y,4,Graduate Degree,Professional,"$150,000 "
55071,alexis90@kiteright.ca,ALEXIS,LONG,5/21/1979,Female,M,Y,2,Graduate Degree,Management,"$30,000 "
55072,pamela3@kiteright.ca,PAMELA,YUAN,8/17/1990,Female,S,Y,1,High School,Management,"$50,000 "
55073,peter19@kiteright.ca,PETER,GONZALES,5/31/1968,Male,S,Y,0,High School,Management,"$150,000 "
55074,grace10@kiteright.ca,GRACE,LEE,4/29/1947,Female,S,Y,1,High School,Manual,"$90,000 "
55075,brandon15@kiteright.ca,BRANDON,GARCIA,9/29/1994,Male,M,Y,1,Graduate Degree,Clerical,"$100,000 "
55076,wright11@kiteright.ca,TIFFANY,WRIGHT,9/7/1965,Female,S,Y,2,Bachelor Degree,Management,"$170,000 "
55077,watson39@kiteright.ca,DENISE,WATSON,5/22/1981,Female,M,N,1,High School,Professional,"$130,000 "
55078,jose83@kiteright.ca,JOSE,ZHOU,6/27/1993,Male,M,N,3,Graduate Degree,Management,"$80,000 "
55079,liang8@kiteright.ca,KATHRYN,LIANG,8/2/1991,Female,S,Y,1,High School,Professional,"$100,000 "
55080,chande5@kiteright.ca,JAMES,CHANDE,5/10/2000,NA,M,N,2,Bachelor Degree,Management,"$50,000 "
55081,ann27@kiteright.ca,ANN,PEREZ,7/15/1979,Female,M,Y,3,Bachelor Degree,Manual,"$150,000 "
55082,thomas89@kiteright.ca,THOMAS,NATH,8/29/1990,Male,M,N,1,Graduate Degree,Management,"$160,000 "
55083,howard38@kiteright.ca,ETHAN,HOWARD,10/28/1977,Male,S,N,0,Graduate Degree,Management,"$100,000 "
55084,xu66@kiteright.ca,LOUIS,XU,10/16/1992,Male,S,Y,0,Bachelor Degree,Manual,"$40,000 "
55085,bryan68@kiteright.ca,BRYAN,DIAZ,8/19/1970,Male,M,Y,1,Graduate Degree,Management,"$130,000 "
55086,anand50@kiteright.ca,JOHNNY,ANAND,7/27/1982,Male,S,Y,4,Bachelor Degree,Professional,"$160,000 "
55087,gill75@kiteright.ca,BRIAN,GILL,8/8/1983,Male,S,Y,4,Bachelor Degree,Manual,"$10,000 "
55088,brooks21@kiteright.ca,KEITH,BROOKS,3/15/1982,Male,S,Y,3,Graduate Degree,Management,"$80,000 "
55089,diaz49@kiteright.ca,DOUGLAS,DIAZ,7/15/1985,Male,M,N,4,Bachelor Degree,Manual,"$60,000 "
55090,gloria93@kiteright.ca,GLORIA,SULLIVAN,10/2/1978,Female,M,N,0,Bachelor Degree,Professional,"$90,000 "
55091,campbell32@kiteright.ca,JANICE,CAMPBELL,10/28/1993,Female,S,N,2,High School,Clerical,"$130,000 "
55092,gonzalez11@kiteright.ca,SARA,GONZALEZ,4/13/1991,Female,M,N,3,Graduate Degree,Clerical,"$50,000 "
55093,diaz76@kiteright.ca,NICHOLAS,DIAZ,6/5/1985,Male,S,N,4,High School,Manual,"$70,000 "
55094,dominguez93@kiteright.ca,KELLY,DOMINGUEZ,3/9/1959,Female,S,N,5,Graduate Degree,Manual,"$160,000 "
55095,cook40@kiteright.ca,CHARLES,COOK,7/12/1966,Male,M,N,0,Graduate Degree,Professional,"$40,000 "
55096,sanchez29@kiteright.ca,STEVEN,SANCHEZ,8/15/1999,Male,M,Y,2,High School,Management,"$20,000 "
55097,yuan72@kiteright.ca,BRENDA,YUAN,5/22/1969,Female,M,N,4,Graduate Degree,Management,"$150,000 "
55098,rose31@kiteright.ca,ROSE,WILSON,3/18/1968,Female,M,Y,4,High School,Management,"$10,000 "
55099,navarro59@kiteright.ca,MATTHEW,NAVARRO,12/14/1994,Male,S,Y,0,Graduate Degree,Manual,"$130,000 "
55100,paul23@kiteright.ca,PAUL,ANDERSON,9/11/1976,Male,S,N,1,High School,Clerical,"$70,000 "
55101,ashley67@kiteright.ca,ASHLEY,GOEL,11/11/1989,Female,M,N,5,Bachelor Degree,Professional,"$140,000 "
55102,townsend28@kiteright.ca,BETTY,TOWNSEND,1/29/1969,Female,M,N,1,Bachelor Degree,Clerical,"$90,000 "
55103,ashley34@kiteright.ca,ASHLEY,RAMAN,6/19/1981,Female,M,Y,0,High School,Professional,"$160,000 "
55104,gonzales96@kiteright.ca,JANE,GONZALES,2/22/1990,Female,S,Y,4,High School,Clerical,"$30,000 "
55105,davis84@kiteright.ca,NICHOLAS,DAVIS,12/9/1976,Male,S,N,0,Graduate Degree,Professional,"$30,000 "
55106,patrick15@kiteright.ca,PATRICK,SHEN,7/7/2000,Male,M,N,3,Graduate Degree,Manual,"$120,000 "
55107,emma23@kiteright.ca,EMMA,RAJI,11/8/1983,Female,S,N,0,Graduate Degree,Manual,"$170,000 "
55108,harris80@kiteright.ca,JOAN,HARRIS,3/30/1980,Female,M,Y,5,Graduate Degree,Manual,"$100,000 "
55109,she45@kiteright.ca,TIMOTHY,SHE,3/27/1984,Male,M,N,2,Bachelor Degree,Management,"$160,000 "
55110,gloria30@kiteright.ca,GLORIA,CARLSON,9/19/1966,Female,M,N,4,High School,Manual,"$50,000 "
55111,cynthia60@kiteright.ca,CYNTHIA,LIU,3/7/1975,Female,M,Y,2,High School,Clerical,"$140,000 "
55112,garcia99@kiteright.ca,KYLE,GARCIA,9/2/1998,Male,S,N,0,Bachelor Degree,Management,"$20,000 "
55113,davis71@kiteright.ca,FRANK,DAVIS,8/14/1995,Male,S,Y,3,Bachelor Degree,Manual,"$130,000 "
55114,hernandez45@kiteright.ca,ALICE,HERNANDEZ,5/4/1983,Female,S,Y,2,Graduate Degree,Professional,"$20,000 "
55115,shirley33@kiteright.ca,SHIRLEY,KELLY,8/30/1979,Female,S,Y,0,Graduate Degree,Professional,"$160,000 "
55116,louis90@kiteright.ca,LOUIS,GONZALEZ,3/14/1977,Male,S,Y,3,High School,Professional,"$140,000 "
55117,murphy66@kiteright.ca,VICTORIA,MURPHY,5/17/1989,Female,M,N,0,High School,Manual,"$80,000 "
55118,bobby75@kiteright.ca,BOBBY,SANCHEZ,12/8/1981,Male,S,Y,1,Graduate Degree,Management,"$140,000 "
55119,zhang88@kiteright.ca,CARL,ZHANG,4/28/1981,Male,S,Y,1,Bachelor Degree,Clerical,"$20,000 "
55120,gao28@kiteright.ca,EDWARD,GAO,10/29/1959,Male,S,N,1,Bachelor Degree,Professional,"$10,000 "
55121,frank43@kiteright.ca,FRANK,ALEXANDER,3/13/1994,Male,S,N,2,High School,Management,"$30,000 "
55122,perez27@kiteright.ca,CHRISTIAN,PEREZ,3/9/1976,Male,M,N,5,Graduate Degree,Management,"$10,000 "
55123,alonso55@kiteright.ca,PAUL,ALONSO,8/31/1957,Male,S,Y,5,Bachelor Degree,Professional,"$150,000 "
55124,johnson77@kiteright.ca,DOROTHY,JOHNSON,9/16/1970,Female,M,N,0,Bachelor Degree,Management,"$140,000 "
55125,sarah36@kiteright.ca,SARAH,MORGAN,10/21/1998,Female,M,N,3,Graduate Degree,Management,"$80,000 "
55126,edwards53@kiteright.ca,LISA,EDWARDS,6/21/1998,Female,S,N,3,Bachelor Degree,Professional,"$80,000 "
55127,parker67@kiteright.ca,JOE,PARKER,6/12/1988,Male,M,Y,2,High School,Professional,"$170,000 "
55128,gregory85@kiteright.ca,GREGORY,KELLY,10/13/1947,Male,S,N,1,Graduate Degree,Clerical,"$20,000 "
55129,yuan23@kiteright.ca,SANDRA,YUAN,3/19/1972,Female,S,Y,2,High School,Professional,"$110,000 "
55130,brandon25@kiteright.ca,BRANDON,COLLINS,6/2/1972,Male,M,Y,3,Bachelor Degree,Manual,"$30,000 "
55131,scott96@kiteright.ca,DENNIS,SCOTT,7/28/1984,Male,M,Y,3,Bachelor Degree,Management,"$150,000 "
55132,natalie37@kiteright.ca,NATALIE,XU,8/7/1980,Female,S,Y,0,Graduate Degree,Manual,"$20,000 "
55133,angela96@kiteright.ca,ANGELA,ANAND,9/21/1972,Female,M,Y,2,Bachelor Degree,Professional,"$50,000 "
55134,jeremy3@kiteright.ca,JEREMY,ALVAREZ,10/3/1994,Male,M,Y,4,High School,Clerical,"$20,000 "
55135,albert93@kiteright.ca,ALBERT,RICHARDSON,10/6/1989,Male,S,Y,2,Bachelor Degree,Management,"$30,000 "
55136,lawrence93@kiteright.ca,LAWRENCE,KUMAR,6/10/1994,Male,M,Y,0,Graduate Degree,Clerical,"$170,000 "
55137,emily86@kiteright.ca,EMILY,ROSS,11/22/1979,Female,S,N,1,Bachelor Degree,Management,"$20,000 "
55138,torres49@kiteright.ca,REBECCA,TORRES,12/23/1982,Female,S,Y,1,High School,Management,"$20,000 "
55139,christian7@kiteright.ca,CHRISTIAN,CARLSON,7/12/1964,Male,M,N,3,Bachelor Degree,Clerical,"$20,000 "
55140,noah94@kiteright.ca,NOAH,WILLIAMS,5/27/1975,Male,S,N,1,High School,Professional,"$10,000 "
55141,steven60@kiteright.ca,STEVEN,GAO,3/20/1975,Male,S,Y,0,Bachelor Degree,Clerical,"$140,000 "
55142,linda35@kiteright.ca,LINDA,ROSS,2/11/1998,Female,M,N,1,Graduate Degree,Manual,"$60,000 "
55143,stephen52@kiteright.ca,STEPHEN,NARA,8/12/1996,Male,M,N,2,High School,Professional,"$20,000 "
55144,katherine51@kiteright.ca,KATHERINE,PATEL,5/3/1978,Female,S,N,3,Graduate Degree,Management,"$20,000 "
55145,martinez21@kiteright.ca,ANDREA,MARTINEZ,10/4/1977,Female,M,Y,3,Graduate Degree,Clerical,"$120,000 "
55146,vazquez50@kiteright.ca,JACQUELINE,VAZQUEZ,11/18/1996,Female,S,N,3,Graduate Degree,Management,"$50,000 "
55147,catherine90@kiteright.ca,CATHERINE,MARTINEZ,6/19/1999,Female,S,Y,2,Bachelor Degree,Manual,"$30,000 "
55148,janet89@kiteright.ca,JANET,SMITH,1/5/1976,Female,M,N,4,High School,Professional,"$110,000 "
55149,rachel89@kiteright.ca,RACHEL,JENKINS,3/29/1973,Female,S,N,1,High School,Professional,"$130,000 "
55150,joyce51@kiteright.ca,JOYCE,FOSTER,2/26/1991,Female,M,N,2,High School,Clerical,"$110,000 "
55151,arun56@kiteright.ca,BOBBY,ARUN,6/29/1987,Male,M,Y,1,High School,Management,"$80,000 "
55152,lu22@kiteright.ca,JEREMY,LU,3/12/1980,Male,S,N,4,Graduate Degree,Manual,"$10,000 "
55153,rai33@kiteright.ca,LOUIS,RAI,4/13/1988,Male,M,N,0,Bachelor Degree,Manual,"$90,000 "
55154,peterson40@kiteright.ca,GLORIA,PETERSON,1/16/1978,Female,M,N,2,Bachelor Degree,Management,"$20,000 "
55155,sarah87@kiteright.ca,SARAH,ANDERSEN,5/6/1981,Female,M,N,2,Bachelor Degree,Professional,"$40,000 "
55156,sanchez24@kiteright.ca,LOGAN,SANCHEZ,12/17/1974,Male,M,N,1,High School,Clerical,"$140,000 "
55157,nicole54@kiteright.ca,NICOLE,HOWARD,3/20/1988,Female,S,Y,3,Graduate Degree,Professional,"$80,000 "
55158,gonzales71@kiteright.ca,MARK,GONZALES,11/4/1998,Male,S,Y,1,Bachelor Degree,Professional,"$120,000 "
55159,rana27@kiteright.ca,NATHAN,RANA,8/12/1973,Male,M,Y,3,Graduate Degree,Clerical,"$170,000 "
55160,margaret21@kiteright.ca,MARGARET,BAILEY,7/3/1976,Female,S,N,2,High School,Management,"$120,000 "
55161,abigail98@kiteright.ca,ABIGAIL,ORTEGA,9/28/1985,Female,M,Y,1,Bachelor Degree,Management,"$40,000 "
55162,elizabeth58@kiteright.ca,ELIZABETH,LAL,3/18/1990,Female,S,Y,2,Bachelor Degree,Clerical,"$90,000 "
55163,hall47@kiteright.ca,DAVID,HALL,3/11/1980,Male,S,Y,3,Graduate Degree,Clerical,"$160,000 "
55164,patricia36@kiteright.ca,PATRICIA,HU,11/16/1989,Female,S,N,1,Graduate Degree,Manual,"$120,000 "
55165,ramirez40@kiteright.ca,AMY,RAMIREZ,3/31/1992,Female,M,Y,2,Bachelor Degree,Professional,"$160,000 "
55166,matthew80@kiteright.ca,MATTHEW,LAL,12/17/1964,Male,M,N,0,Bachelor Degree,Professional,"$10,000 "
55167,luo80@kiteright.ca,GERALD,LUO,11/21/1983,Male,S,N,3,Graduate Degree,Professional,"$170,000 "
55168,roger24@kiteright.ca,ROGER,YOUNG,2/1/1978,Male,M,N,3,Graduate Degree,Clerical,"$60,000 "
55169,serrano98@kiteright.ca,SANDRA,SERRANO,3/10/1974,Female,S,N,0,Bachelor Degree,Manual,"$90,000 "
55170,martinez48@kiteright.ca,BRYAN,MARTINEZ,1/12/1993,Male,M,N,2,High School,Manual,"$10,000 "
55171,timothy7@kiteright.ca,TIMOTHY,RAMOS,6/15/1989,Male,S,Y,5,High School,Manual,"$10,000 "
55172,anand86@kiteright.ca,OLIVIA,ANAND,8/6/1971,Female,M,Y,3,High School,Clerical,"$60,000 "
55173,james86@kiteright.ca,STEPHEN,JAMES,2/2/1961,Male,M,Y,0,Bachelor Degree,Management,"$10,000 "
55174,abigail2@kiteright.ca,ABIGAIL,RIVERA,3/14/1996,Female,M,N,3,Graduate Degree,Clerical,"$30,000 "
55175,gray75@kiteright.ca,LAURA,GRAY,2/27/1981,Female,M,Y,0,Bachelor Degree,Manual,"$20,000 "
55176,benjamin26@kiteright.ca,BENJAMIN,HE,12/21/1985,Male,S,Y,2,Bachelor Degree,Management,"$100,000 "
55177,nancy6@kiteright.ca,NANCY,KAPOOR,5/30/1964,Female,S,Y,3,High School,Management,"$120,000 "
55178,scott78@kiteright.ca,SCOTT,XIE,11/19/1976,Male,S,N,2,Graduate Degree,Management,"$130,000 "
55179,russell62@kiteright.ca,RUSSELL,SUN,8/9/1985,Male,S,Y,4,High School,Manual,"$90,000 "
55180,griffin22@kiteright.ca,JAMES,GRIFFIN,9/20/1978,NA,S,Y,3,High School,Clerical,"$40,000 "
55181,michael20@kiteright.ca,MICHAEL,FERRIER,1/5/1988,Male,M,N,1,Bachelor Degree,Management,"$60,000 "
55182,amber19@kiteright.ca,AMBER,RUIZ,8/6/1994,Female,M,Y,1,High School,Manual,"$60,000 "
55183,garcia26@kiteright.ca,PAUL,GARCIA,4/22/1998,Male,M,Y,0,Bachelor Degree,Professional,"$30,000 "
55184,roy64@kiteright.ca,ROY,RUBIO,3/13/1989,Male,M,Y,1,Graduate Degree,Clerical,"$170,000 "
55185,jeremy42@kiteright.ca,JEREMY,CHANDE,3/9/1988,Male,S,Y,0,High School,Management,"$90,000 "
55186,ramos77@kiteright.ca,MARILYN,RAMOS,4/3/1992,Female,S,N,0,High School,Manual,"$10,000 "
55187,larry10@kiteright.ca,LARRY,GARCIA,6/12/1975,Male,M,Y,2,High School,Manual,"$60,000 "
55188,williams63@kiteright.ca,DENNIS,WILLIAMS,8/11/1998,Male,M,N,0,High School,Manual,"$10,000 "
55189,christina76@kiteright.ca,CHRISTINA,ARUN,11/1/1996,Female,S,Y,4,Bachelor Degree,Professional,"$110,000 "
55190,barbara71@kiteright.ca,BARBARA,ANAND,6/15/1991,Female,M,N,1,High School,Management,"$20,000 "
55191,clark19@kiteright.ca,STEPHEN,CLARK,6/9/1986,Male,S,Y,3,Bachelor Degree,Manual,"$110,000 "
55192,melissa78@kiteright.ca,MELISSA,SHAN,7/21/1982,Female,M,Y,2,Graduate Degree,Management,"$160,000 "
55193,louis25@kiteright.ca,LOUIS,RICHARDSON,5/31/1976,Male,M,Y,2,Bachelor Degree,Management,"$90,000 "
55194,huang8@kiteright.ca,TYLER,HUANG,11/18/1988,Male,S,N,3,High School,Management,"$70,000 "
55195,rebecca48@kiteright.ca,REBECCA,ORTEGA,11/12/2000,Female,M,N,2,High School,Manual,"$20,000 "
55196,kapoor79@kiteright.ca,DOUGLAS,KAPOOR,7/11/1990,Male,M,Y,2,High School,Clerical,"$170,000 "
55197,jonathan20@kiteright.ca,JONATHAN,GONZALEZ,1/4/1991,Male,S,Y,1,Bachelor Degree,Manual,"$10,000 "
55198,watson60@kiteright.ca,JULIA,WATSON,10/1/1978,Female,S,Y,1,High School,Professional,"$50,000 "
55199,coleman22@kiteright.ca,JACOB,COLEMAN,10/8/1991,Male,S,N,2,Bachelor Degree,Management,"$150,000 "
55200,lobao36@kiteright.ca,ANGELA,LOBAO,3/23/1996,Female,M,N,2,Bachelor Degree,Management,"$130,000 "
55201,davis69@kiteright.ca,CHRISTINE,DAVIS,12/23/1980,Female,M,N,2,Bachelor Degree,Professional,"$20,000 "
55202,patricia20@kiteright.ca,PATRICIA,SURI,6/1/1957,Female,S,N,2,High School,Clerical,"$160,000 "
55203,vincent2@kiteright.ca,VINCENT,MALHOTRA,10/12/1990,Male,S,Y,3,High School,Professional,"$100,000 "
55204,daniel27@kiteright.ca,DANIEL,LU,3/7/1991,Male,M,Y,5,High School,Clerical,"$80,000 "
55205,hernandez2@kiteright.ca,JOSE,HERNANDEZ,9/4/1987,Male,M,N,5,Graduate Degree,Clerical,"$160,000 "
55206,harold70@kiteright.ca,HAROLD,CHANDE,3/12/1968,Male,M,N,2,Graduate Degree,Manual,"$110,000 "
55207,johnson80@kiteright.ca,BOBBY,JOHNSON,6/4/1990,Male,S,N,3,High School,Management,"$170,000 "
55208,davis67@kiteright.ca,HENRY,DAVIS,2/4/1978,Male,M,Y,0,High School,Clerical,"$50,000 "
55209,arthur91@kiteright.ca,ARTHUR,SHAN,10/11/1989,Male,M,Y,3,Graduate Degree,Professional,"$40,000 "
55210,rogers25@kiteright.ca,HARRY,ROGERS,11/14/1974,Male,M,N,2,Graduate Degree,Manual,"$20,000 "
55211,suarez89@kiteright.ca,JOE,SUAREZ,5/28/1995,Male,M,N,0,Bachelor Degree,Management,"$110,000 "
55212,patrick75@kiteright.ca,PATRICK,KAPOOR,1/9/1963,Male,S,Y,2,Bachelor Degree,Manual,"$150,000 "
55213,mitchell87@kiteright.ca,JULIE,MITCHELL,11/12/1991,Female,M,N,1,Bachelor Degree,Management,"$30,000 "
55214,eugene41@kiteright.ca,EUGENE,SANCHEZ,9/14/1990,Male,S,N,4,Graduate Degree,Manual,"$40,000 "
55215,rogers31@kiteright.ca,GABRIEL,ROGERS,8/7/1982,Male,S,Y,2,Bachelor Degree,Management,"$110,000 "
55216,muñoz84@kiteright.ca,JOYCE,MUÑOZ,6/23/1976,Female,M,Y,4,Graduate Degree,Management,"$10,000 "
55217,arthur22@kiteright.ca,ARTHUR,JAI,5/13/1975,Male,S,N,4,High School,Management,"$60,000 "
55218,raji54@kiteright.ca,ETHAN,RAJI,7/19/1975,Male,S,Y,4,Graduate Degree,Professional,"$50,000 "
55219,powell53@kiteright.ca,CAROL,POWELL,5/30/1978,Female,S,Y,3,Graduate Degree,Management,"$160,000 "
55220,sarah98@kiteright.ca,SARAH,HERNANDEZ,6/1/1989,Female,M,Y,3,Bachelor Degree,Management,"$140,000 "
